DATE,INDEX,Turnover
23/01/2023,1831.95,649989.74
22/01/2023,1831.38,289395.08
19/01/2023,1830.67,877234.65
18/01/2023,1857.69,808770.76
17/01/2023,1855.45,629688.86
16/01/2023,1851.91,521940.23
15/01/2023,1845.49,337040.38
12/01/2023,1820.38,778637.28
11/01/2023,1817.14,640758.17
10/01/2023,1815.6,584030.68
09/01/2023,1820.55,809222.45
08/01/2023,1811.6,308332.85
05/01/2023,1790.04,1447237.11
04/01/2023,1794.69,808259.35
03/01/2023,1788.2,847451.16
02/01/2023,1786.19,473662.82
01/01/2023,1782.03,339722.74
29/12/2022,1796.92,1869851.15
28/12/2022,1787.44,902047.74
27/12/2022,1779.05,747907.05
26/12/2022,1761.27,644369.16
25/12/2022,1759.22,423141.92
22/12/2022,1785.96,843583.06
21/12/2022,1806.91,832992.94
20/12/2022,1790.05,942127.33
19/12/2022,1801.51,1006174.76
18/12/2022,1798.87,353433.54
15/12/2022,1820.54,1221236.67
14/12/2022,1838.18,786599.17
13/12/2022,1856.46,1046205.27
12/12/2022,1835.82,850224.19
11/12/2022,1842.43,285173.51
08/12/2022,1847.23,1104681.99
07/12/2022,1826.93,920496.4
06/12/2022,1851.41,859628.68
05/12/2022,1869.67,1116598.52
04/12/2022,1870.21,286894.33
01/12/2022,1874.88,1808233.78
30/11/2022,1849.17,1867105.31
29/11/2022,1865.42,1272196.37
28/11/2022,1840.08,979346.01
27/11/2022,1861.04,346550.71
24/11/2022,1879.21,1581293.72
23/11/2022,1878.32,968027.42
22/11/2022,1891.35,782769.99
21/11/2022,1876.74,734216.63
20/11/2022,1907.42,423395.42
17/11/2022,1885.09,1386004.33
16/11/2022,1921.93,857901.53
15/11/2022,1952.12,1074908.27
14/11/2022,1944.05,1380648.93
13/11/2022,1965.71,480616.06
10/11/2022,1981.04,1765215.93
09/11/2022,1929.2,1035188.96
08/11/2022,1937.36,1335649.93
07/11/2022,1915.18,922306.03
06/11/2022,1928.97,379008.44
03/11/2022,1914.47,2002038.72
02/11/2022,1943.02,1023831.67
31/10/2022,1943.87,941387.81
30/10/2022,1951.45,354177.98
27/10/2022,1933.82,1377882.19
26/10/2022,1934.56,854958.12
25/10/2022,1920.55,808838.56
24/10/2022,1905.8,943121.23
23/10/2022,1906.48,459352.59
20/10/2022,1887.95,913197.1
19/10/2022,1892.01,776861.06
18/10/2022,1890.32,1097356.81
13/10/2022,1872.68,636826.95
12/10/2022,1862.69,674758.09
11/10/2022,1848.18,838882.3
06/10/2022,1867.62,2100425.35
03/10/2022,1837.92,1492536.24
02/10/2022,1798.35,787994.54
29/09/2022,1837.23,1933368.91
28/09/2022,1875.74,1674497.4
22/09/2022,1922.89,895624.54
21/09/2022,1944.86,842524.1
20/09/2022,1931.72,734916.89
19/09/2022,1943.27,852700.21
18/09/2022,1920.14,385706.34
15/09/2022,1950.56,1322726.54
14/09/2022,1961.18,925566.32
13/09/2022,1991.55,1022472.4
12/09/2022,2018.85,780394.05
11/09/2022,2014.98,322513.4
08/09/2022,1987.29,1040722.8
07/09/2022,1970.25,1014780.95
06/09/2022,1984.29,719889.39
05/09/2022,2003.43,627674.25
04/09/2022,2001.81,278975.06
01/09/2022,2000.2,1865191.86
31/08/2022,2014.52,2100402.29
30/08/2022,2020.33,988711.85
29/08/2022,2030.43,918164.54
28/08/2022,2026.53,516848.64
25/08/2022,2060.4,1560200.19
24/08/2022,2067.23,1102178.11
23/08/2022,2039.86,925684.44
22/08/2022,2024.95,1042502.77
21/08/2022,2044.71,388816.97
18/08/2022,2054.88,1491881.23
17/08/2022,2033.82,1195472.49
16/08/2022,2059.22,1153453.42
15/08/2022,2057.25,1021041.2
14/08/2022,2052.61,451087.2
11/08/2022,2042.21,1130443.43
10/08/2022,2024,953150
09/08/2022,1989.94,896273.52
08/08/2022,1988.53,891717.13
04/08/2022,1956.96,2982937.04
03/08/2022,1945.95,822001.66
02/08/2022,1929.11,906208.21
01/08/2022,1941.53,974773.35
31/07/2022,1948.1,438273.73
28/07/2022,1925.35,2049353.95
27/07/2022,1912.33,1427916.43
26/07/2022,1892.48,784639.81
25/07/2022,1903.82,813051
24/07/2022,1914.58,314579.36
21/07/2022,1920.2,1078536.68
20/07/2022,1901.97,883833.43
19/07/2022,1880.5,729853.97
18/07/2022,1884.48,928255.43
17/07/2022,1869.51,224088.12
14/07/2022,1842.53,876587.42
13/07/2022,1853.67,783217.87
12/07/2022,1863.49,784369.08
11/07/2022,1861.38,898347.93
